scope,course_code,title,cus,program_count,colleges,programs
AP,D029,Informatics for Transforming Nursing Care,3,8,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Family Nurse Practitioner (BSN to MSN); Master of Science, Nursing - Leadership and Management (BSN to MSN); Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN); Master of Science, Nursing - Psychiatric Mental Health Nurse Practitioner"
AP,D030,Leadership and Management in Complex,3,8,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Family Nurse Practitioner (BSN to MSN); Master of Science, Nursing - Leadership and Management (BSN to MSN); Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN); Master of Science, Nursing - Psychiatric Mental Health Nurse Practitioner"
AP,D031,Advancing Evidence-Based Innovation in,3,8,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Family Nurse Practitioner (BSN to MSN); Master of Science, Nursing - Leadership and Management (BSN to MSN); Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN); Master of Science, Nursing - Psychiatric Mental Health Nurse Practitioner"
AP,D033,Healthcare Information Systems Management,3,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
AP,D034,Systems Management and School Operations,3,1,School of Education,"Master of Science, Educational Leadership"
AP,D035,Educational Inquiry,3,1,School of Education,"Master of Science, Educational Leadership"
AP,D036,Practicum in Educational Leadership - Focus,3,1,School of Education,"Master of Science, Educational Leadership"
AP,D037,Practicum in Educational Leadership - Focus,3,1,School of Education,"Master of Science, Educational Leadership"
AP,D038,Educational Leadership Capstone,3,1,School of Education,"Master of Science, Educational Leadership"
AP,D072,Fundamentals for Success in Business,3,6,School of Business,"Bachelor of Science, Accounting; Bachelor of Science, Finance; Bachelor of Science, Healthcare Administration; Bachelor of Science, Human Resource Management; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing"
AP,D075,Information Technology Management,3,2,School of Business,"Bachelor of Science, Finance; Bachelor of Science, Information Technology Management"
AP,D076,Finance Skills for Managers,3,4,School of Business,"Bachelor of Science, Accounting; Bachelor of Science, Finance; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing"
AP,D077,"Concepts in Marketing, Sales, and Customer",3,9,School of Business,"Bachelor of Science, Accounting; Bachelor of Science, Business Management; Bachelor of Science, Communications; Bachelor of Science, Finance; Bachelor of Science, Healthcare Administration; Bachelor of Science, Human Resource Management; Bachelor of Science, Information Technology Management; Bachelor of Science, Supply Chain and Operations Management; Bachelor of Science, User Experience Design"
AP,D078,Business Environment Applications I: Business,2,9,School of Business,"Bachelor of Science, Accounting; Bachelor of Science, Business Management; Bachelor of Science, Communications; Bachelor of Science, Finance; Bachelor of Science, Human Resource Management; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing; Bachelor of Science, Supply Chain and Operations Management; Bachelor of Science, User Experience Design"
AP,D079,"Business Environment Applications II: Process,",2,8,School of Business,"Bachelor of Science, Accounting; Bachelor of Science, Business Management; Bachelor of Science, Communications; Bachelor of Science, Finance; Bachelor of Science, Human Resource Management; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing; Bachelor of Science, User Experience Design"
AP,D080,Managing in a Global Business Environment,3,9,School of Business,"Bachelor of Science, Accounting; Bachelor of Science, Business Management; Bachelor of Science, Communications; Bachelor of Science, Finance; Bachelor of Science, Human Resource Management; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing; Bachelor of Science, Supply Chain and Operations Management; Bachelor of Science, User Experience Design"
AP,D081,Innovative and Strategic Thinking,3,9,School of Business,"Bachelor of Science, Accounting; Bachelor of Science, Business Management; Bachelor of Science, Communications; Bachelor of Science, Finance; Bachelor of Science, Healthcare Administration; Bachelor of Science, Human Resource Management; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing; Bachelor of Science, User Experience Design"
AP,D082,Emotional and Cultural Intelligence,3,10,School of Business,"Bachelor of Science, Accounting; Bachelor of Science, Business Management; Bachelor of Science, Communications; Bachelor of Science, Finance; Bachelor of Science, Healthcare Administration; Bachelor of Science, Human Resource Management; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing; Bachelor of Science, Supply Chain and Operations Management; Bachelor of Science, User Experience Design"
AP,D089,Principles of Economics,3,10,School of Business,"Bachelor of Science, Accounting; Bachelor of Science, Business Management; Bachelor of Science, Communications; Bachelor of Science, Finance; Bachelor of Science, Healthcare Administration; Bachelor of Science, Human Resource Management; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing; Bachelor of Science, Supply Chain and Operations Management; Bachelor of Science, User Experience Design"
AP,D098,Digital Marketing,3,1,School of Business,"Bachelor of Science, Marketing"
AP,D099,Sales Management,3,2,School of Business,"Bachelor of Science, Business Management; Bachelor of Science, Marketing"
AP,D100,Introduction to Spreadsheets,1,1,School of Business,"Bachelor of Science, Information Technology Management"
AP,D101,Cost and Managerial Accounting,3,1,School of Business,"Bachelor of Science, Accounting"
AP,D102,Financial Accounting,3,1,School of Business,"Bachelor of Science, Accounting"
